"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000006398","Cdc20","0.4917011684","0.36703270066244803","0.8881446111968979"
"ENSMUSG00000081739","nan","-0.9611917689","0.3670541197043821","nan"
"ENSMUSG00000039069","Mtg2","0.0978707708","0.367205634321959","0.8884503280359229"
"ENSMUSG00000026707","Nsun6","0.1819874631","0.36728529033909296","0.8884700194429879"
"ENSMUSG00000105646","nan","1.1301840812","0.36730696262162105","0.8884700194429879"
"ENSMUSG00000081787","nan","1.2546518587","0.36735880639006","nan"
"ENSMUSG00000097372","Gm26876","0.790818405","0.3674540602081989","nan"
"ENSMUSG00000079415","Cntf","-0.2684146149","0.367655653969188","0.889200660817412"
"ENSMUSG00000073607","Gm10548","0.7457258563","0.36775553084042295","0.889273067409255"
"ENSMUSG00000020817","Rabep1","0.075053391","0.3677974390419821","0.889273067409255"
"ENSMUSG00000028974","Dffa","-0.0759042027","0.367854633183825","0.889273067409255"
"ENSMUSG00000017677","Wsb1","-0.1575917358","0.36790076587600895","0.889273067409255"
"ENSMUSG00000055760","Gemin6","0.1352705486","0.36791877642078896","0.889273067409255"
"ENSMUSG00000008604","Ubqln4","-0.0910258302","0.367983556301516","0.889316914012333"
"ENSMUSG00000032172","Olfm2","0.4431670547","0.3681121856802539","0.889515036947293"
"ENSMUSG00000008668","Rps18","-0.1047744925","0.368275345958699","0.8897965403877941"
"ENSMUSG00000112381","nan","0.8588130887","0.368524856344945","nan"
"ENSMUSG00000033644","Piwil2","0.9123817207","0.368537136989044","0.8902651609629001"
"ENSMUSG00000089902","nan","-0.6918940047","0.36856183710313","nan"
"ENSMUSG00000118706","Snord14d","-2.1335590913","0.3685619508002629","nan"
"ENSMUSG00000111459","Gm8031","1.2403586428","0.368600337882789","nan"
"ENSMUSG00000054057","A930004D18Rik","0.2986040273","0.36867996384233104","0.8902651609629001"
"ENSMUSG00000022676","Snai2","0.2538202573","0.36871750700226","0.8902651609629001"
"ENSMUSG00000070572","nan","-1.1509327615","0.36871848635462107","0.8902651609629001"
"ENSMUSG00000056204","Pgpep1","0.1194008137","0.368758008061702","0.8902651609629001"
"ENSMUSG00000103581","nan","2.0983403849","0.36881473355399","nan"
"ENSMUSG00000052488","Cherp","-0.0891906797","0.368847435954239","0.8902651609629001"
"ENSMUSG00000120710","nan","-1.4224894599","0.3688886700994939","nan"
"ENSMUSG00000050270","Tmem220","-0.1450362508","0.368900468292294","0.8902651609629001"
"ENSMUSG00000026516","Nvl","0.1007931461","0.368906822570077","0.8902651609629001"
"ENSMUSG00000018287","Spag7","-0.0797020518","0.368926749157248","0.8902651609629001"
"ENSMUSG00000095335","Igkv3-5","1.4224025976","0.368954857301166","0.8902651609629001"
"ENSMUSG00000008136","Fhl2","0.5634574869","0.36898288058998296","0.8902651609629001"
"ENSMUSG00000063434","Sorcs3","1.059606314","0.369136368607549","0.8903625210615"
"ENSMUSG00000021301","Hecw1","1.0208173854","0.369264246542928","0.8903625210615"
