"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000098177","Gm4823","-0.8961416768","0.8408230208727909","nan"
"ENSMUSG00000032228","Tcf12","-0.0248411384","0.84083769457548","1.0"
"ENSMUSG00000006522","Itih3","-0.1322151348","0.84091844830025","1.0"
"ENSMUSG00000008892","Vdac3","-0.0215140391","0.840966123531","1.0"
"ENSMUSG00000079144","A130010J15Rik","0.0301390674","0.840985795017963","1.0"
"ENSMUSG00000120399","nan","-0.1907709465","0.841030272347582","nan"
"ENSMUSG00000038644","Pold1","0.0414350547","0.841065671892568","1.0"
"ENSMUSG00000089989","nan","-0.864884436","0.8410914005420451","1.0"
"ENSMUSG00000021102","Glrx5","0.0348083699","0.8412145130931009","1.0"
"ENSMUSG00000051910","Sox6","0.0836900027","0.8412177307553009","1.0"
"ENSMUSG00000091764","Zfp964","0.045146167","0.841234491616683","1.0"
"ENSMUSG00000103436","nan","0.053633306","0.8413129649358141","1.0"
"ENSMUSG00000026037","Orc2","-0.0314397037","0.8413174934146221","1.0"
"ENSMUSG00000040018","Cox15","-0.0358321856","0.841324683311396","1.0"
"ENSMUSG00000036087","Slain2","0.0268155248","0.8414605108909861","1.0"
"ENSMUSG00000023915","Tnfrsf21","0.0335018655","0.8414962475283331","1.0"
"ENSMUSG00000085123","Rubie","-0.3619798287","0.841504848462776","nan"
"ENSMUSG00000023027","Atf1","0.0239833992","0.8415216263741151","1.0"
"ENSMUSG00000055660","Mettl4","0.0197805272","0.841568856395106","1.0"
"ENSMUSG00000098093","Gm8707","0.4437526689","0.841699238012577","nan"
"ENSMUSG00000028274","Rngtt","0.0248305455","0.841736951183187","1.0"
"ENSMUSG00000024283","Wac","-0.0194987441","0.841762565275341","1.0"
"ENSMUSG00000037613","Tnfrsf23","-0.0759528874","0.8417654327890329","1.0"
"ENSMUSG00000074968","Ano3","-0.2388383568","0.8418210669403531","1.0"
"ENSMUSG00000113069","nan","-0.4152375833","0.8418691461515211","nan"
"ENSMUSG00000000804","Usp32","-0.0298046241","0.841875436880396","1.0"
"ENSMUSG00000076614","nan","0.2154748931","0.8419012239891529","1.0"
"ENSMUSG00000020706","Ftsj3","-0.0230284546","0.841938602937459","1.0"
"ENSMUSG00000086442","nan","-0.4152694674","0.8420321064614259","nan"
"ENSMUSG00000112576","nan","-0.4152396764","0.842084249512606","nan"
"ENSMUSG00000049303","Syt12","0.0872711228","0.8420980283541009","1.0"
"ENSMUSG00002076902","nan","1.0272768973","0.8422006440852969","nan"
"ENSMUSG00000107482","nan","0.1351011313","0.842247469405033","1.0"
"ENSMUSG00000116529","Gm4600","-0.8961568998","0.842264932929681","nan"
"ENSMUSG00000113725","nan","-0.0959661026","0.842282464625881","1.0"
"ENSMUSG00000056290","Ms4a4b","0.109059123","0.842311669677479","1.0"
"ENSMUSG00000114718","nan","0.5464842363","0.842322527503352","nan"
"ENSMUSG00000041079","Rwdd2b","-0.0251034552","0.8423318502785749","1.0"
"ENSMUSG00000121083","nan","0.0598862515","0.8423641454620608","1.0"
"ENSMUSG00000090114","nan","-0.8675534064","0.842428629384408","nan"
"ENSMUSG00000102543","Pcdhgc5","-0.1636546851","0.842439241104766","1.0"
"ENSMUSG00000119961","nan","-0.0863026068","0.84244480475932","1.0"
"ENSMUSG00000110164","Gm7351","-0.8961562723","0.842471812649626","nan"
"ENSMUSG00000026649","Cfap126","0.059274285","0.842476997687121","1.0"
"ENSMUSG00000073423","Zfp414","0.0332842433","0.8425081065938941","1.0"
"ENSMUSG00000013236","Ptprs","-0.0577502632","0.842510472632174","1.0"
"ENSMUSG00000108873","nan","-0.4152764901","0.8425118921571121","nan"
"ENSMUSG00000003437","Paf1","0.0191081737","0.842548487521045","1.0"
"ENSMUSG00000035606","Ky","-0.2634798682","0.8425512171009621","1.0"
"ENSMUSG00000053574","4930563E22Rik","0.1229834681","0.8426339258945792","1.0"
"ENSMUSG00000120073","nan","-0.9338264406","0.8426679014289651","nan"
"ENSMUSG00000039376","Synpo2l","-0.1609271345","0.842708088142656","1.0"
"ENSMUSG00000037519","Ppfia1","0.0189613964","0.8427513969196639","1.0"
"ENSMUSG00000020042","Btbd11","-0.0827223711","0.842822184224962","1.0"
"ENSMUSG00000070501","Ifi214","-0.2154450004","0.842852425532843","1.0"
"ENSMUSG00000053613","nan","0.0733776333","0.842853334936299","1.0"
